countryGroup,amount,quantity,unitName,commodityCode,chapterName,chCode,countryName,commodityName
America,50673704.67,8803,Kg.,67042000,Prepared feathers and down and articles made of feathers or of down: artificial flowers: articles of human hair,67,U.S.A.,Wigs of human hair
America,37514.96,20,Kg.,72173000,Iron and steel,72,U.S.A.,"Wire of iron or non-alloy steel, coated with base metal"
America,3944.1,20,Kg.,44021000,Wood and articles of wood: wood charcoal,44,U.S.A.,"Wood charcoal (including shell or nut charcoal), whether or not agglomerated of bamboo"
America,149349074.27,16907,Kg.,44209000,Wood and articles of wood: wood charcoal,44,U.S.A.,"Wood Marquetry and inlaid wood, casket and cases for Jewellery or Cutlery, of wood"
America,11493735.0,18,Kg.,12119010,"Oil seeds and oleaginous fruits: miscellaneous grains, seeds and fruit: industrial or medicinal plants: straw and fodder",12,U.S.A.,Yarchagumba 
America,5778.52,6,Ltr,22086010,"Beverages, spirits and vinegar",22,U.S.A.,"Alcoholic fluids including spirits used as raw materials of
Vodka"
America,223555089.02,11525,Ltr,33019000,"Essential oils and resinoids: perfumery, cosmetic or toilet preparations",33,U.S.A.,Essential oil
America,1500.0,1,Ltr,33011900,"Essential oils and resinoids: perfumery, cosmetic or toilet preparations",33,U.S.A.,Essential oil of citrus fruits
America,16215402.16,1245,Ltr,33012900,"Essential oils and resinoids: perfumery, cosmetic or toilet preparations",33,U.S.A.,Essential oils other than those of citrus fruit
America,3954.3,1,Ltr,33059010,"Essential oils and resinoids: perfumery, cosmetic or toilet preparations",33,U.S.A.,Hair Oil
America,590356.21,762,Ltr,20098990,"Preparation of vegetables, fruits, nuts or other parts of plants",20,U.S.A.,Other juice of any other single fruits
America,752493.48,1060,Ltr,15141900,Animal or vegetable fats and oils and their cleavage products: prepared edible fats: animal or vegetable waxes,15,U.S.A.,"Rape, colza or mustard oil ( but not crude)"
America,494792.59,890,Ltr,15149990,Animal or vegetable fats and oils and their cleavage products: prepared edible fats: animal or vegetable waxes,15,U.S.A.,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified"
America,9761392.5,10794,Ltr,22084092,"Beverages, spirits and vinegar",22,U.S.A.,Rum and other spirits of an alcoholic strength 25UP (42.8%)
