countryGroup,amount,quantity,unitName,commodityCode,chapterName,chCode,countryName,commodityName
America,42434.28,800,Pcs.,62114990,"Articles of apparel and clothing accessories, not knitted or crocheted",62,U.S.A.,"W&G garments of textile materials, not knitted"
America,3691240.0,10057,Pcs.,61043900,"Articles of apparel and clothing accessories, knitted or crocheted",61,U.S.A.,"W&G jacket, knitted of textile materials"
America,6468656.0,13123,Pcs.,62045100,"Articles of apparel and clothing accessories, not knitted or crocheted",62,U.S.A.,"W&G Of woolen skirts, not knitted"
America,69583.5,270,Pcs.,62045900,"Articles of apparel and clothing accessories, not knitted or crocheted",62,U.S.A.,"W&G skirt of textile material, not knitted"
America,15021539.69,34913,Pcs.,62041900,"Articles of apparel and clothing accessories, not knitted or crocheted",62,U.S.A.,W&G suit of other textiles
America,539306.63,216,Pcs.,62044100,"Articles of apparel and clothing accessories, not knitted or crocheted",62,U.S.A.,W&G woolen dresses
America,274122.81,54,Pcs.,61043100,"Articles of apparel and clothing accessories, knitted or crocheted",61,U.S.A.,"W&G woolen jacket, knitted"
America,1975222.97,1415,Pcs.,62043100,"Articles of apparel and clothing accessories, not knitted or crocheted",62,U.S.A.,W&G woolen jackets
America,2088100.23,2143,Pcs.,62041100,"Articles of apparel and clothing accessories, not knitted or crocheted",62,U.S.A.,W&G woolen suits
America,305550.0,291,Pcs.,62046100,"Articles of apparel and clothing accessories, not knitted or crocheted",62,U.S.A.,"W&G Woolen trousers bib and brace overalls, breeches and short"
America,119760.0,8,Pcs.,92059000,Musical instruments: parts and accessories of such articles.,92,U.S.A.,Wind musical instruments
America,7063753.16,943,Pcs.,94036000,"Furniture: bedding, mattresses, mattress supports, cushions and similar stuffed furnishings: lamps and lighting fittings, not elsewhere specified or included: illuminated signs, illuminated name-plates and the like: prefabricated buildings",94,U.S.A.,Wooden furniture
America,14680634.38,16736,Pcs.,63012000,Other made up textile articles: sets: worn clothing and worn textile articles: rags,63,U.S.A.,Woolen blankets
America,402949154.48,290286,Pcs.,62142000,"Articles of apparel and clothing accessories, not knitted or crocheted",62,U.S.A.,"Woolen shawls, scarves, mufflers, mantillas, veils and the like"
America,38643691.04,11090,Pcs.,61101100,"Articles of apparel and clothing accessories, knitted or crocheted",61,U.S.A.,"Woollen jersey, pullover, cardigans, sweater, waistcoat, knitted"
America,46433660.44,1719,Sq.Mtr.,57019000,Carpets and other textile floor coverings,57,U.S.A.,"Carpet, knotted of textile materials"
America,7182856278.29,247053,Sq.Mtr.,57011000,Carpets and other textile floor coverings,57,U.S.A.,"Carpet, knotted of wool or fine animal hair"
America,12714.0,52,Sq.Mtr.,57024990,Carpets and other textile floor coverings,57,U.S.A.,Carpets and floor covering of other textiles materials
America,12700.0,6,Sq.Mtr.,58110000,Special woven fabrics: tufted textile fabrics: lace: tapestries: trimmings: embroidery,58,U.S.A.,"Quilted textile products in the piece composed of one or more layers of textile materials assembled with padding by stitching or otherwise , other than embroidery"
America,68191.2,0,Sq.Mtr.,59019000,"Impregnated, coated, covered or laminated textile fabrics: textile articles of a kind suitable for industrial use",59,U.S.A.,"Tracing cloth, prepared painting canvas"
America,154127911.0,6593,Sq.Mtr.,57021000,Carpets and other textile floor coverings,57,U.S.A.,"`kelem` , Schumacks `, Karamaine` and similar hand-woven rugs"
America,148648.77,53,Pcs.,92060000,Musical instruments: parts and accessories of such articles.,92,Uruguay,Percussion musical instrument
America,199993.18,8,Pcs.,62142000,"Articles of apparel and clothing accessories, not knitted or crocheted",62,Uruguay,"Woolen shawls, scarves, mufflers, mantillas, veils and the like"
America,41120261.0,3167,Sq.Mtr.,57011000,Carpets and other textile floor coverings,57,Uruguay,"Carpet, knotted of wool or fine animal hair"
America,1807579.38,222,Kg.,30042000,Pharmaceutical products,30,Venezuela,Medicaments containing antibiotic for therapeutic  or prophylatic uses
Asia,26116420.0,7,Pcs.,84304900,"Nuclear reactors, boilers, machinery and mechanical appliances: parts thereof",84,Afghanistan,Boring or sinking Machinery
Asia,1696737.38,1100,Pcs.,90013010,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus: parts and accessories thereof",90,Armenia,Entraocular lences
Asia,1258789.88,2645,Pcs.,62044200,"Articles of apparel and clothing accessories, not knitted or crocheted",62,Armenia,"W&G cotton dresses, not knitted"
Asia,192121.38,624,Pcs.,92060000,Musical instruments: parts and accessories of such articles.,92,Azerbaijan,Percussion musical instrument
Asia,1631580.6,470,Pcs.,62142000,"Articles of apparel and clothing accessories, not knitted or crocheted",62,Azerbaijan,"Woolen shawls, scarves, mufflers, mantillas, veils and the like"
Asia,98212.5,10,Kg.,12119090,"Oil seeds and oleaginous fruits: miscellaneous grains, seeds and fruit: industrial or medicinal plants: straw and fodder",12,Bahrain,"Plants and parts of plants ( including seeds and fruits) of a kind used primarily in perfumery, in pharmacy or for insecticidal or similar purposes"
Asia,451897.59,744,Kg.,19059020,"Preparation of cereals, flour, starch or milk: pastrycooks` products",19,Bahrain,Potatoes chips
Asia,25397.0,90,Kg.,49111000,"Printed books, newspapers, pictures and other products of the printing industry: manuscripts, typescripts and plans",49,Bahrain,"Trade advertising material, commercial catalogues"
Asia,760468.13,1366,Kg.,19021900,"Preparation of cereals, flour, starch or milk: pastrycooks` products",19,Bahrain,"Uncooked pasta, not stuffed or otherwise prepared"
Asia,45851.34,573,Pcs.,62046200,"Articles of apparel and clothing accessories, not knitted or crocheted",62,Bahrain,"W&G cotton trousers, bibs and brace overalls, breeches and short"
Asia,502817.0,150,Pcs.,62142000,"Articles of apparel and clothing accessories, not knitted or crocheted",62,Bahrain,"Woolen shawls, scarves, mufflers, mantillas, veils and the like"
Asia,698756.31,17,Sq.Mtr.,57011000,Carpets and other textile floor coverings,57,Bahrain,"Carpet, knotted of wool or fine animal hair"
Asia,17508466.78,365000,Kg.,23024000,Residues and waste from the food industries: prepared animal fodder,23,Bangladesh,"Bran, sharps, and other residues of cereals"
Asia,1688412.63,21000,Kg.,23033000,Residues and waste from the food industries: prepared animal fodder,23,Bangladesh,Brewing or distilling dregs and waste
